_firestoreId,_type,id,name,category,stock,room,shelf,manufacturer,modelNumber,partNumber,barcode,productCategory,isDiscontinued,minStock,guideUrl,isFaulty,price,description,brochureUrl,weaveFileUrl,weaveConfigured,updatedAt,weaveTemplateId,imageUrl,warrantyEndDate,purchaseDate
GX3jmetT7tZWlCJbGmGp,Product,5794,BN360-PWR-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-PWR-01,5794,5794,,,,,,,,,,,,,,,
GZKEcR29DQnd2kXTKb1d,Product,4486,BN360-10H-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-10H-01,4486,4486,,,,,,,,,,,,,,,
GpxvZZPkpbigqUA6NtA9,Product,S5802A,,,,,,,,,,Sistem,,,,,,,,,,,,,,
HIbxfAwI2QlXP7vbdwfg,Product,7490,,,,,,,,,,Diğer,,,,,,,,,,,,,,
I94Qw58hyFzlC7Q30bsU,Product,6582,MDR-644,Stok Malzemesi,1,Depo,A1,Brigade Electronics,MDR-644,6582,6582,,,,,,,,,,,,,,,
IOqOL160vHbyux2TK8EZ,Product,A0991,,,,,,,,,,Sistem,,,,,,,,,,,,,,
IP1uwmcL4cTuRYRUUBhU,Product,F3154,VBV-L4005,Stok Malzemesi,10,Depo,A1,Brigade Electronics,VBV-L4005,F3154,F3154,,,,,,,,,,,,,,,
IPjuKpiKQx4rtc8Mzuhy,Product,2808C,VBV-710C,Stok Malzemesi,2,Depo,A1,Brigade Electronics,VBV-710C,2808C,2808C,,true,,,,,,,,,,,,,
ISVdUdJum16HMYTmZB8X,Product,3726,UDS-00SM,Stok Malzemesi,20,Depo,A1,Brigade Electronics,UDS-00SM,3726,3726,,,,,,,,,,,,,,,
IVncAYdHi6O9tAdrRcwh,Product,6291,,,,,,,,,,Sistem,,,,,,,,,,,,,,
Ig80DCPd71lwVr2bLMyC,Product,6296,LOCKING -BOX,Stok Malzemesi,11,Depo,A1,Brigade Electronics,LOCKING -BOX,6296,6296,,,,,,,,,,,,,,,
IvcRdGl5LLxM3AObYBvo,Product,A3744,BS-4000W,Stok Malzemesi,2,Depo,A1,Brigade Electronics,BS-4000W,A3744,A3744,,,,,,,,,,,,,,,
J7MlP445wdHJOaaY5iKi,Product,AC-001,,,,,,,,,,Kablo,,,,,,,,,,,,,,
JeOUUf6aSNYWsMBupz7a,Product,A0990,,,,,,,,,,Sistem,,,,,,,,,,,,,,
JpMKILMWjGG0Dps9EODv,Product,5466,VBV-7100C,Stok Malzemesi,4,Depo,A1,Brigade Electronics,VBV-7100C,5466,5466,,,,,,,,,,,,,,,
JzNcIDf4de6Ah26vTM6M,Product,AC-014,AC-014,Stok Malzemesi,10,Depo,A1,Brigade Electronics,AC-014,,AC-014,,,,,,,,,,,,,,,
KqiEe048HOhcAbMKZ4ia,Product,S5201,,,,,,,,,,Sistem,,,,,,,,,,,,,,
LLY8AVM6znAIf4831ZWg,Product,5611,,,,,,,,,,Diğer,,,,,,,,,,,,,,
Lx4PPOFMaqznMMJVRV75,Product,4498,BN360-L105,Stok Malzemesi,3,Depo,A1,Brigade Electronics,BN360-L105,4498,4498,,,,,,,,,,,,,,,
LyAtKZUxGDAH0rzIUaBY,Product,5833A,BN360-300-ECU,Stok Malzemesi,,Depo,A1,Brigade Electronics,BN360-300-ECU,5833A,5833A,,,,,,,,,,,,,,,
M6XhSo0Ysx46M8x9WUpm,Product,5800A,BN360-300,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-300,5800A,5800A,,,,,,,,,,,,,,,
M6q2DHLkvbRelzG9lCxy,Product,5812,BN360-H305,Stok Malzemesi,15,Depo,A1,Brigade Electronics,BN360-H305,5812,5812,,,,,,,,,,,,,,,
MOXVBqVXDdTjLHpiGsXK,Product,6292,DC-REAR-CAM,Stok Malzemesi,1,Depo,A1,Brigade Electronics,DC-REAR-CAM,6292,6292,,,,,,,,,,,,,,,
MeIiVvyGKQtBn6WvwjD6,Product,3720,UDS-4.5SC,Stok Malzemesi,9,Depo,A1,Brigade Electronics,UDS-4.5SC,3720,3720,,,,,,,,,,,,,,,
MhOSkycrw21RBnnB83TU,Product,5810,,,,,,,,,,Sistem,,,,,,,,,,,,,,
Mip06Kok3N67rr6MJNZx,Product,xtPemfPGCxwBhyQDdpi7,UDS On Screen Display,Stok Malzemesi,,,,Brigade Electronics,UDS-OSD20,5099,2412300549,Monitor,,,,,200.89,,,,,,,,,
N0cAnUZGFywKLwY6ZQtz,Product,4493,BN360-L120,Stok Malzemesi,3,Depo,A1,Brigade Electronics,BN360-L120,4493,4493,,,,,,,,,,,,,,,
NARiMsvpJYF8zDqi4wwZ,Product,5516,VBV-H410,Stok Malzemesi,2,Depo,A1,Brigade Electronics,VBV-H410,5516,5516,,,,,,,,,,,,,,,
NOg9bQDr6m69vEi8l64w,Product,4267,AC-055,Stok Malzemesi,10,Depo,A1,Brigade Electronics,AC-055,4267,4267,,,,,,,,,,,,,,,
NpbobejG0uMJrmVRxkuv,Product,A3744,BS-4000W,Stok Malzemesi,2,Depo,A1,Brigade Electronics,BS-4000W,A3744,A3744,,,,,,,,,,,,,,,
O05xGPkLdkzdWJI3UhlT,Product,AC-001,AC-001,Stok Malzemesi,1,Depo,A1,Brigade Electronics,AC-001,,AC-001,,,,,,,,,,,,,,,
OK7W3NTJh6TNw1ggpgS5,Product,7508,,,,,,,,,,Diğer,,,,,,,,,,,,,,
OUkhz64szSEE5bVSKLi0,Product,4496,BN360-L110,Stok Malzemesi,7,Depo,A1,Brigade Electronics,BN360-L110,4496,4496,,,,,,,,,,,,,,,
OdqzA2WjBU1924scOzp5,Product,6292,DC-REAR-CAM,Stok Malzemesi,1,Depo,A1,Brigade Electronics,DC-REAR-CAM,6292,6292,,,,,,,,,,,,,,,
OmoMjhex5O6vXtSlA0v5,Product,5611A,VBV-770HM,Stok Malzemesi,3,Depo,A1,Brigade Electronics,VBV-770HM,5611A,5611A,,,,,,,,,,,,,,,
OqkP0RlUf3ax79AeYikR,Product,7088,DW-2000TX,Stok Malzemesi,3,Depo,A1,Brigade Electronics,DW-2000TX,7088,7088,,,,,,,,,,,,,,,
OzUUvUGOWWfq8WrjAWiD,Product,4498,BN360-L105,Stok Malzemesi,3,Depo,A1,Brigade Electronics,BN360-L105,4498,4498,,,,,,,,,,,,,,,
PBTAGHZ9GJQRUPNOLHvh,Product,4043,DW-1000TX,Stok Malzemesi,1,Depo,A1,Brigade Electronics,DW-1000TX,4043,4043,,,,,,,,,,,,,,,
PD8lKsBEzQZpT5nsDyuv,Product,2808C,VBV-710C,Stok Malzemesi,2,Depo,A1,Brigade Electronics,VBV-710C,2808C,2808C,,true,,,,,,,,,,,,,
Q5z8sdsf9VupaX0Tng0J,Product,7321,VBV-2220C-AI-D04,Stok Malzemesi,1,Depo,A1,Brigade Electronics,VBV-2220C-AI-D04,7321,7321,,,,,,,,,,,,,,,
QNJTHfFcvUThx8ztS6li,Product,S5802A,BN360-1000C,Stok Malzemesi,6,Depo,A1,Brigade Electronics,BN360-1000C,S5802A,S5802A,,,,,,,,,,,,,,,
QNndyFAgN126RpFBIl31,Product,5611A,VBV-770HM,Stok Malzemesi,3,Depo,A1,Brigade Electronics,VBV-770HM,5611A,5611A,,,,,,,,,,,,,,,
QOHXVCTQjGvIwYqcUO6x,Product,A1386,VBV-L410,Stok Malzemesi,3,Depo,A1,Brigade Electronics,VBV-L410,A1386,A1386,,true,,,,,,,,,,,,,
QRvpRkNY6v1OMBXs8acZ,Product,5266,BS-9000,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BS-9000,5266,5266,,,,,,,,,,,,,,,
Qed9tMM4ydhc6Mhd3eUt,Product,S5775,,,,,,,,,,Diğer,,,,,,,,,,,,,,
QgsJw1LkWnhWXHpz4aWD,Product,2808C,,,,,,,,,,Diğer,,,,,,,,,,,,,,
QnSDqvTbGtbSp943IPGR,Product,6648,AC-H305,Stok Malzemesi,9,Depo,A1,Brigade Electronics,AC-H305,6648,6648,,,,,,,,,,,,,,,
QyOXah4PWSfkTINd9m0o,Product,5813,,,,,,,,,,Sistem,,,,,,,,,,,,,,
RfJaDqIsa3dgHuMiMzUy,Product,S5775,VBV-670M-M,Stok Malzemesi,,Depo,A1,Brigade Electronics,VBV-670M-M,S5775,S5775,,,,,,,,,,,,,,,
Rslz1LZL1e2wKCAlO2N6,Product,7145,,,,,,,,,,Diğer,,,,,,,,,,,,,,
RyUk3HIyoR2TlGhGwtdn,Product,7089,DW-2000RX,Stok Malzemesi,3,Depo,A1,Brigade Electronics,DW-2000RX,7089,7089,,,,,,,,,,,,,,,
RzyKEyr1mYINfogZRfKW,Product,4864,BN360-100C-MK,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-100C-MK,4864,4864,,,,,,,,,,,,,,,
TB3CjkzMCIs4M3ROnZPe,Product,BS-9001T,BS-9001T,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BS-9001T,,BS-9001T,,,,,,,,,,,,,,,
TDLbt4MU8baaetF6xDS7,Product,3726,,,,,,,,,,Aksesuar,,,,,,,,,,,,,,
TM13XCdX9vjIWg6QRNkL,Product,A1499,VBV-L405,Stok Malzemesi,8,Depo,A1,Brigade Electronics,VBV-L405,A1499,A1499,,true,,,,,,,,,,,,,
TYuIg66FK0fKZTUvHzZQ,Product,4489,BN360-CP-01,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BN360-CP-01,4489,4489,,,,,,,,,,,,,,,
UHHFpbTTBISksXERrwHB,Product,3719,UDS-2.5SC,Stok Malzemesi,2,Depo,A1,Brigade Electronics,UDS-2.5SC,3719,3719,,,,,,,,,,,,,,,
ULYa4Q05asW3nAycRK00,Product,4494,BN360-L1025,Stok Malzemesi,5,Depo,A1,Brigade Electronics,BN360-L1025,4494,4494,,,,,,,,,,,,,,,
UTAGvIyxRJZJ65BTvCSr,Product,5812,BN360-H305,Stok Malzemesi,15,Depo,A1,Brigade Electronics,BN360-H305,5812,5812,,,,,,,,,,,,,,,
V2WjvxHykdFOaO58VNpE,Product,7089,,,,,,,,,,Diğer,,,,,,,,,,,,,,
V84NHi7XkYC7WpNZ0mvH,Product,5811,BN360-H310,Stok Malzemesi,11,Depo,A1,Brigade Electronics,BN360-H310,5811,5811,,,,,,,,,,,,,,,
VI34UctS6EdLzjJ7fpg9,Product,2724D,VBV-790C,Stok Malzemesi,1,Depo,A1,Brigade Electronics,VBV-790C,2724D,2724D,,,,,,,,,,,,,,,
VRTIj21bv1T8ny2b5FYM,Product,3176B,,,,,,,,,,Diğer,,,,,,,,,,,,,,
Vi1hPLnXDDe77EviAA4s,Product,A2099,,,,,,,,,,Diğer,,,,,,,,,,,,,,
Vwalv7hFvHGZkXnM1dNQ,Product,5813,BN360-H3025,Stok Malzemesi,5,Depo,A1,Brigade Electronics,BN360-H3025,5813,5813,,,,,,,,,,,,,,,
Vyt3ZgcpC4nIb094nGrn,Product,kiHrMVzPeX5EfVUdqBrE,Coiled Cable Kit Elite for 1 Camera + UDS 15 pin,Stok Malzemesi,,,,Brigade Electronics,SK-15-04,,202093,Kablo,,,,,420.04,,,,,,,,,
W7Zy80oUP0TFmGNq2DyG,Product,5863,UDS-CAN-ECU,Stok Malzemesi,2,Depo,A1,Brigade Electronics,UDS-CAN-ECU,5863,5863,,,,,,,,,,,,,,,
WDCX8ofTmxZhOjxhtMdz,Product,5517,,,,,,,,,,Kablo,,,,,,,,,,,,,,
WDo2voPsFqShvgUtZ6fF,Product,4569A,VBV-7XXFM-CA,Stok Malzemesi,1,Depo,A1,Brigade Electronics,VBV-7XXFM-CA,4569A,4569A,,,,,,,,,,,,,,,
WIvaI0u2gXTgeuOP4rdt,Product,4903,,,,,,,,,,Kablo,,,,,,,,,,,,,,
WKJnSDUl3eWKQrGke15D,Product,MgPgxsBrQnvUVsFMCGxi,BC-VI   ,Stok Malzemesi,87,Depo,A1,Brigade Electronics,BC-VI ,A0815,A0815,Sistem,,,,,220.39,,,,,,,,,
WOI4rxxSV8S7rk3RmZfC,Product,3721,UDS-00SS,Stok Malzemesi,27,Depo,A1,Brigade Electronics,UDS-00SS,3721,3721,,,,,,,,,,,,,,,
WlHlDZBFhMU7IAjLKzOn,Product,4910A,DMC-1025,Stok Malzemesi,1,Depo,A1,Brigade Electronics,DMC-1025,4910A,4910A,,true,,,,,,,,,,,,,
